WKT,id,left,top,right,bottom,row_index,col_index
"POLYGON ((6653839.67561673 2188444.95436418,6661844.92496056 2188444.95436418,6661844.92496056 2180439.70502035,6653839.67561673 2180439.70502035,6653839.67561673 2188444.95436418))","65",6653839.67561673,2188444.95436418,6661844.92496056,2180439.70502035,"12","2"
"POLYGON ((6653839.67561673 2180439.70502035,6661844.92496056 2180439.70502035,6661844.92496056 2172434.45567652,6653839.67561673 2172434.45567652,6653839.67561673 2180439.70502035))","66",6653839.67561673,2180439.70502035,6661844.92496056,2172434.45567652,"13","2"
"POLYGON ((6653839.67561673 2172434.45567652,6661844.92496056 2172434.45567652,6661844.92496056 2164429.20633269,6653839.67561673 2164429.20633269,6653839.67561673 2172434.45567652))","67",6653839.67561673,2172434.45567652,6661844.92496056,2164429.20633269,"14","2"
"POLYGON ((6653839.67561673 2164429.20633269,6661844.92496056 2164429.20633269,6661844.92496056 2156423.95698886,6653839.67561673 2156423.95698886,6653839.67561673 2164429.20633269))","68",6653839.67561673,2164429.20633269,6661844.92496056,2156423.95698886,"15","2"
"POLYGON ((6653839.67561673 2156423.95698886,6661844.92496056 2156423.95698886,6661844.92496056 2148418.70764502,6653839.67561673 2148418.70764502,6653839.67561673 2156423.95698886))","69",6653839.67561673,2156423.95698886,6661844.92496056,2148418.70764502,"16","2"
"POLYGON ((6653839.67561673 2148418.70764502,6661844.92496056 2148418.70764502,6661844.92496056 2140413.45830119,6653839.67561673 2140413.45830119,6653839.67561673 2148418.70764502))","70",6653839.67561673,2148418.70764502,6661844.92496056,2140413.45830119,"17","2"
"POLYGON ((6653839.67561673 2140413.45830119,6661844.92496056 2140413.45830119,6661844.92496056 2132408.20895736,6653839.67561673 2132408.20895736,6653839.67561673 2140413.45830119))","71",6653839.67561673,2140413.45830119,6661844.92496056,2132408.20895736,"18","2"
"POLYGON ((6653839.67561673 2132408.20895736,6661844.92496056 2132408.20895736,6661844.92496056 2124402.95961353,6653839.67561673 2124402.95961353,6653839.67561673 2132408.20895736))","72",6653839.67561673,2132408.20895736,6661844.92496056,2124402.95961353,"19","2"
"POLYGON ((6653839.67561673 2124402.95961353,6661844.92496056 2124402.95961353,6661844.92496056 2116397.7102697,6653839.67561673 2116397.7102697,6653839.67561673 2124402.95961353))","73",6653839.67561673,2124402.95961353,6661844.92496056,2116397.7102697,"20","2"
"POLYGON ((6653839.67561673 2116397.7102697,6661844.92496056 2116397.7102697,6661844.92496056 2108392.46092586,6653839.67561673 2108392.46092586,6653839.67561673 2116397.7102697))","74",6653839.67561673,2116397.7102697,6661844.92496056,2108392.46092586,"21","2"
"POLYGON ((6653839.67561673 2108392.46092586,6661844.92496056 2108392.46092586,6661844.92496056 2100387.21158203,6653839.67561673 2100387.21158203,6653839.67561673 2108392.46092586))","75",6653839.67561673,2108392.46092586,6661844.92496056,2100387.21158203,"22","2"
"POLYGON ((6653839.67561673 2100387.21158203,6661844.92496056 2100387.21158203,6661844.92496056 2092381.9622382,6653839.67561673 2092381.9622382,6653839.67561673 2100387.21158203))","76",6653839.67561673,2100387.21158203,6661844.92496056,2092381.9622382,"23","2"
"POLYGON ((6653839.67561673 2092381.9622382,6661844.92496056 2092381.9622382,6661844.92496056 2084376.71289437,6653839.67561673 2084376.71289437,6653839.67561673 2092381.9622382))","77",6653839.67561673,2092381.9622382,6661844.92496056,2084376.71289437,"24","2"
"POLYGON ((6653839.67561673 2084376.71289437,6661844.92496056 2084376.71289437,6661844.92496056 2076371.46355054,6653839.67561673 2076371.46355054,6653839.67561673 2084376.71289437))","78",6653839.67561673,2084376.71289437,6661844.92496056,2076371.46355054,"25","2"
"POLYGON ((6661844.92496056 2284507.94649017,6669850.17430439 2284507.94649017,6669850.17430439 2276502.69714634,6661844.92496056 2276502.69714634,6661844.92496056 2284507.94649017))","79",6661844.92496056,2284507.94649017,6669850.17430439,2276502.69714634,"0","3"
"POLYGON ((6661844.92496056 2276502.69714634,6669850.17430439 2276502.69714634,6669850.17430439 2268497.4478025,6661844.92496056 2268497.4478025,6661844.92496056 2276502.69714634))","80",6661844.92496056,2276502.69714634,6669850.17430439,2268497.4478025,"1","3"
"POLYGON ((6661844.92496056 2268497.4478025,6669850.17430439 2268497.4478025,6669850.17430439 2260492.19845867,6661844.92496056 2260492.19845867,6661844.92496056 2268497.4478025))","81",6661844.92496056,2268497.4478025,6669850.17430439,2260492.19845867,"2","3"
"POLYGON ((6661844.92496056 2260492.19845867,6669850.17430439 2260492.19845867,6669850.17430439 2252486.94911484,6661844.92496056 2252486.94911484,6661844.92496056 2260492.19845867))","82",6661844.92496056,2260492.19845867,6669850.17430439,2252486.94911484,"3","3"
"POLYGON ((6661844.92496056 2252486.94911484,6669850.17430439 2252486.94911484,6669850.17430439 2244481.69977101,6661844.92496056 2244481.69977101,6661844.92496056 2252486.94911484))","83",6661844.92496056,2252486.94911484,6669850.17430439,2244481.69977101,"4","3"
"POLYGON ((6661844.92496056 2244481.69977101,6669850.17430439 2244481.69977101,6669850.17430439 2236476.45042718,6661844.92496056 2236476.45042718,6661844.92496056 2244481.69977101))","84",6661844.92496056,2244481.69977101,6669850.17430439,2236476.45042718,"5","3"
"POLYGON ((6661844.92496056 2236476.45042718,6669850.17430439 2236476.45042718,6669850.17430439 2228471.20108334,6661844.92496056 2228471.20108334,6661844.92496056 2236476.45042718))","85",6661844.92496056,2236476.45042718,6669850.17430439,2228471.20108334,"6","3"
"POLYGON ((6661844.92496056 2228471.20108334,6669850.17430439 2228471.20108334,6669850.17430439 2220465.95173951,6661844.92496056 2220465.95173951,6661844.92496056 2228471.20108334))","86",6661844.92496056,2228471.20108334,6669850.17430439,2220465.95173951,"7","3"
"POLYGON ((6661844.92496056 2220465.95173951,6669850.17430439 2220465.95173951,6669850.17430439 2212460.70239568,6661844.92496056 2212460.70239568,6661844.92496056 2220465.95173951))","87",6661844.92496056,2220465.95173951,6669850.17430439,2212460.70239568,"8","3"
"POLYGON ((6661844.92496056 2212460.70239568,6669850.17430439 2212460.70239568,6669850.17430439 2204455.45305185,6661844.92496056 2204455.45305185,6661844.92496056 2212460.70239568))","88",6661844.92496056,2212460.70239568,6669850.17430439,2204455.45305185,"9","3"
"POLYGON ((6661844.92496056 2204455.45305185,6669850.17430439 2204455.45305185,6669850.17430439 2196450.20370802,6661844.92496056 2196450.20370802,6661844.92496056 2204455.45305185))","89",6661844.92496056,2204455.45305185,6669850.17430439,2196450.20370802,"10","3"
"POLYGON ((6661844.92496056 2196450.20370802,6669850.17430439 2196450.20370802,6669850.17430439 2188444.95436418,6661844.92496056 2188444.95436418,6661844.92496056 2196450.20370802))","90",6661844.92496056,2196450.20370802,6669850.17430439,2188444.95436418,"11","3"
"POLYGON ((6661844.92496056 2188444.95436418,6669850.17430439 2188444.95436418,6669850.17430439 2180439.70502035,6661844.92496056 2180439.70502035,6661844.92496056 2188444.95436418))","91",6661844.92496056,2188444.95436418,6669850.17430439,2180439.70502035,"12","3"
"POLYGON ((6661844.92496056 2180439.70502035,6669850.17430439 2180439.70502035,6669850.17430439 2172434.45567652,6661844.92496056 2172434.45567652,6661844.92496056 2180439.70502035))","92",6661844.92496056,2180439.70502035,6669850.17430439,2172434.45567652,"13","3"
"POLYGON ((6661844.92496056 2172434.45567652,6669850.17430439 2172434.45567652,6669850.17430439 2164429.20633269,6661844.92496056 2164429.20633269,6661844.92496056 2172434.45567652))","93",6661844.92496056,2172434.45567652,6669850.17430439,2164429.20633269,"14","3"
"POLYGON ((6661844.92496056 2164429.20633269,6669850.17430439 2164429.20633269,6669850.17430439 2156423.95698886,6661844.92496056 2156423.95698886,6661844.92496056 2164429.20633269))","94",6661844.92496056,2164429.20633269,6669850.17430439,2156423.95698886,"15","3"
"POLYGON ((6661844.92496056 2156423.95698886,6669850.17430439 2156423.95698886,6669850.17430439 2148418.70764502,6661844.92496056 2148418.70764502,6661844.92496056 2156423.95698886))","95",6661844.92496056,2156423.95698886,6669850.17430439,2148418.70764502,"16","3"
"POLYGON ((6661844.92496056 2148418.70764502,6669850.17430439 2148418.70764502,6669850.17430439 2140413.45830119,6661844.92496056 2140413.45830119,6661844.92496056 2148418.70764502))","96",6661844.92496056,2148418.70764502,6669850.17430439,2140413.45830119,"17","3"
"POLYGON ((6661844.92496056 2140413.45830119,6669850.17430439 2140413.45830119,6669850.17430439 2132408.20895736,6661844.92496056 2132408.20895736,6661844.92496056 2140413.45830119))","97",6661844.92496056,2140413.45830119,6669850.17430439,2132408.20895736,"18","3"
"POLYGON ((6661844.92496056 2132408.20895736,6669850.17430439 2132408.20895736,6669850.17430439 2124402.95961353,6661844.92496056 2124402.95961353,6661844.92496056 2132408.20895736))","98",6661844.92496056,2132408.20895736,6669850.17430439,2124402.95961353,"19","3"
"POLYGON ((6661844.92496056 2124402.95961353,6669850.17430439 2124402.95961353,6669850.17430439 2116397.7102697,6661844.92496056 2116397.7102697,6661844.92496056 2124402.95961353))","99",6661844.92496056,2124402.95961353,6669850.17430439,2116397.7102697,"20","3"
"POLYGON ((6661844.92496056 2116397.7102697,6669850.17430439 2116397.7102697,6669850.17430439 2108392.46092586,6661844.92496056 2108392.46092586,6661844.92496056 2116397.7102697))","100",6661844.92496056,2116397.7102697,6669850.17430439,2108392.46092586,"21","3"
"POLYGON ((6661844.92496056 2108392.46092586,6669850.17430439 2108392.46092586,6669850.17430439 2100387.21158203,6661844.92496056 2100387.21158203,6661844.92496056 2108392.46092586))","101",6661844.92496056,2108392.46092586,6669850.17430439,2100387.21158203,"22","3"
"POLYGON ((6661844.92496056 2100387.21158203,6669850.17430439 2100387.21158203,6669850.17430439 2092381.9622382,6661844.92496056 2092381.9622382,6661844.92496056 2100387.21158203))","102",6661844.92496056,2100387.21158203,6669850.17430439,2092381.9622382,"23","3"
"POLYGON ((6661844.92496056 2092381.9622382,6669850.17430439 2092381.9622382,6669850.17430439 2084376.71289437,6661844.92496056 2084376.71289437,6661844.92496056 2092381.9622382))","103",6661844.92496056,2092381.9622382,6669850.17430439,2084376.71289437,"24","3"
"POLYGON ((6661844.92496056 2084376.71289437,6669850.17430439 2084376.71289437,6669850.17430439 2076371.46355054,6661844.92496056 2076371.46355054,6661844.92496056 2084376.71289437))","104",6661844.92496056,2084376.71289437,6669850.17430439,2076371.46355054,"25","3"
"POLYGON ((6669850.17430439 2284507.94649017,6677855.42364822 2284507.94649017,6677855.42364822 2276502.69714634,6669850.17430439 2276502.69714634,6669850.17430439 2284507.94649017))","105",6669850.17430439,2284507.94649017,6677855.42364822,2276502.69714634,"0","4"
"POLYGON ((6669850.17430439 2276502.69714634,6677855.42364822 2276502.69714634,6677855.42364822 2268497.4478025,6669850.17430439 2268497.4478025,6669850.17430439 2276502.69714634))","106",6669850.17430439,2276502.69714634,6677855.42364822,2268497.4478025,"1","4"
"POLYGON ((6669850.17430439 2268497.4478025,6677855.42364822 2268497.4478025,6677855.42364822 2260492.19845867,6669850.17430439 2260492.19845867,6669850.17430439 2268497.4478025))","107",6669850.17430439,2268497.4478025,6677855.42364822,2260492.19845867,"2","4"
